id,created_at,duration_seconds,has_audio,resolution,visual_prompt,audio_prompt,compound_prompt,parent_generation_id,filename_stem
63fd3f15-2c15-409d-a94a-b07864d46497,2025-10-19T22:58:46.301000Z,5,True,720p,,"epic drone, surreal, blessed, red engergy passion, mood","Sound: epic drone, surreal, blessed, red engergy passion, mood",5662ac9b-9af2-4a02-adea-ee95ea05bd28,20251019_225846_63fd3f15_720p_5s_audio_sound_drone_sound_fire_light_energy_epic
60c4c35f-0841-4469-acd2-f86617b250c5,2025-10-19T22:58:55.154000Z,5,True,720p,,"drone, heavenly sound, red fire echo drone, lu,ninous, legend entry deep light","Sound: drone, heavenly sound, red fire echo drone, lu,ninous, legend entry deep light",897959e2-f9f2-43b5-b1a8-a18f21a92798,20251019_225855_60c4c35f_720p_5s_audio_sound_drone_heavenly_sound_red_fire_echo
4ed309f2-e28d-4850-9681-b789476934a6,2025-10-19T22:59:24.444000Z,5,True,720p,,"drone, light, mood red","Sound: drone, light, mood red",2b86743e-0a82-45c8-8e8a-6ccbb3027d09,20251019_225924_4ed309f2_720p_5s_audio_sound_drone_light_mood_red
e9c18d8d-4282-4dcf-a363-c31074045570,2025-10-19T23:05:30.128000Z,5,True,720p,,"rain, distant sounds echo of radio, 80's ambient, drone glow rain","Sound: rain, distant sounds echo of radio, 80's ambient, drone glow rain",fedbef68-b4d8-42b3-a7a0-3bc529a11ca5,20251019_230530_e9c18d8d_720p_5s_audio_sound_rain_distant_sounds_echo_of_radio
02eba2a1-e758-4688-9b7f-7b816ba4ec07,2025-10-19T23:05:48.113000Z,5,False,720p,,,Keyframed Visual Continuity,9c734df4-883a-49ba-9647-984e2fd588d4,20251019_230548_02eba2a1_720p_5s_audio_interpolated_sequence
0b025dc2-a248-44b0-a4d7-b4751d7d3602,2025-10-19T23:07:06.739000Z,5,True,draft,the man s head,"drowning in red light fluid, bubbling, textured, mood atmospheric","the man s head [Audio: drowning in red light fluid, bubbling, textured, mood atmospheric]",c9d310d4-c4b0-4f91-985e-8b9417b83f06,20251019_230706_0b025dc2_draft_5s_audio_sound_drowning_in_red_light_fluid_bubbli
f3088dc0-e65c-4546-9a1b-063667d5b057,2025-10-19T23:12:05.438000Z,5,False,draft,the man turns his,,the man turns his,c55cf001-a3a5-4069-8421-4ba445a40f50,20251019_231205_f3088dc0_draft_5s_audio_interpolated_sequence
84c137db-a003-4e03-b26e-40f339b666d4,2025-10-19T23:12:10.610000Z,5,False,draft,the dj s right hand,,the dj s right hand,24e9edde-f1cb-47d9-bc3e-f595a52f600d,20251019_231210_84c137db_draft_5s_audio_interpolated_sequence
0183fedb-4dd9-4c31-87a8-65f4126f55d4,2025-10-19T23:12:40.223000Z,5,True,draft,the man in,"rain, drone, dope slow mo, vocoder, mood","the man in [Audio: rain, drone, dope slow mo, vocoder, mood]",216b7124-5391-40a4-9198-d5792ac25efc,20251019_231240_0183fedb_draft_5s_audio_sound_rain_drone_dope_slow_mo_vocoder_mo
6017f123-f493-4fd3-98c7-9b6573ac3596,2025-10-19T23:14:53.076000Z,5,False,720p,,,Keyframed Visual Continuity,668e0515-96e5-446b-a8ab-52d43ad533a9,20251019_231453_6017f123_720p_5s_audio_interpolated_sequence
5bbf08ef-65af-4fc6-9284-458d4f0db21c,2025-10-19T23:15:12.291000Z,5,False,draft,the vibrant red and,,the vibrant red and,d9a2be5f-d1db-4adc-abf1-71f66f4494ff,20251019_231512_5bbf08ef_draft_5s_audio_interpolated_sequence
